0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-11.74138287270818,-11.261806272731567,-12.098783087927067,-11.591917775015435,-11.796558099504168,-12.11010287787523,-14.010435688324447,-11.209655869176734,-11.646980406416581,-12.241450782443033,-13.689964341647036,-12.628244744719932,-14.893764004677507,-13.393595894725037,-inf,-14.187365795991475,-13.129600377036066,-inf,-inf,-14.03863230904086,-12.518197909225506
-11.048235692148234,-11.279824778234245,-11.30385321305718,-12.508208506889591,-13.182852460624058,-12.038643913893086,-12.064525539269134,-11.615120977284898,-11.503879562775909,-12.298609196282984,-13.689964341647036,-12.628244744719932,-13.507469643557616,-12.700448714165091,-inf,-13.627750008056053,-13.417282449487848,-inf,-13.383255276422314,-14.326314381492642,-inf
-11.048235692148234,-11.226714952920297,-11.287852871710738,-11.591917775015435,-12.489705280064113,-11.247056660519888,-12.064525539269134,-11.68922894943862,-11.59696998584192,-12.359233818099417,-inf,-12.040458079817814,-12.753697841181236,-11.688847802486611,-inf,-13.781900687883311,-14.515894738155957,-inf,-13.788720384530478,-15.424926670160751,-inf
-11.048235692148234,-11.08246534407575,-11.479743879520845,-11.815061326329646,-12.489705280064113,-12.038643913893086,-12.064525539269134,-11.856283034101786,-11.621662598432291,-12.359233818099417,-13.689964341647036,-12.445923187925978,-12.753697841181236,-12.477305162850882,-inf,-15.573660157111366,-14.110429630047793,-inf,-14.481867565090424,-inf,-12.364047229398247
-inf,-11.144023237075183,-11.59153528550896,-12.508208506889591,-13.182852460624058,-12.314897290521245,-12.624141327204557,-11.546128105797946,-11.646980406416581,-12.423772339236988,-13.689964341647036,-12.29177250809872,-13.284326092243406,-12.477305162850882,-inf,-inf,-13.599604006281803,-inf,-inf,-14.326314381492642,-inf
-inf,-11.85317075898157,-11.64679796418401,-11.591917775015435,-12.08424017195595,-12.410207470325568,-12.400997775890346,-11.420964962843941,-11.978337542371024,-12.646915890551199,-13.689964341647036,-12.628244744719932,-11.873339118533144,-12.700448714165091,-inf,-inf,-13.417282449487848,-inf,-inf,-14.731779489600806,-14.30995737845356
-inf,-11.919862133480242,-10.328077027896844,-12.508208506889591,-13.182852460624058,-12.27044552795041,-14.010435688324447,-11.856283034101786,-11.755193991056814,-12.934597963002979,-inf,-12.628244744719932,-12.878860984135242,-12.988130786616873,-inf,-14.475047868443257,-15.209041918715902,-inf,-13.788720384530478,-14.326314381492642,-13.616810197893615
-11.74138287270818,-12.029061425445233,-12.38646516037885,-11.815061326329646,-12.489705280064113,-12.766882414264302,-13.317288507764502,-11.615120977284898,-11.978337542371024,-12.934597963002979,-inf,-11.839787384355663,-13.189015912439082,-12.988130786616873,-12.630087962999559,-14.88051297655142,-14.515894738155957,-inf,-inf,-14.731779489600806,-inf
-11.74138287270818,-11.760797438850554,-11.981000052270684,-13.201355687449537,-12.08424017195595,-12.921033094091559,-13.317288507764502,-11.769271657112157,-12.132488222198283,-12.934597963002979,-12.99681716108709,-12.628244744719932,-12.814322462997671,-13.393595894725037,-inf,-14.88051297655142,-13.599604006281803,-inf,-inf,-14.731779489600806,-inf
-inf,-11.88596058180456,-11.570257887061675,-12.102743398781426,-12.489705280064113,-12.572726399823344,-12.624141327204557,-11.856283034101786,-11.646980406416581,-13.052380998659363,-inf,-12.851388296034143,-13.284326092243406,-12.988130786616873,-inf,-14.475047868443257,-13.822747557596012,-inf,-inf,-14.326314381492642,-inf
-inf,-11.85317075898157,-10.721457396789937,-11.815061326329646,-inf,-12.27044552795041,-12.911823399656338,-11.856283034101786,-11.844806149746502,-12.829237447345154,-inf,-12.29177250809872,-14.200616824117562,-12.294983606056928,-inf,-13.627750008056053,-13.599604006281803,-inf,-14.481867565090424,-14.326314381492642,-inf
-inf,-11.731809901977302,-11.226294978711305,-13.201355687449537,-inf,-12.361417306156136,-13.317288507764502,-11.856283034101786,-11.943246222559754,-12.359233818099417,-inf,-12.628244744719932,-13.977473272803351,-12.140832926229669,-inf,-14.475047868443257,-14.110429630047793,-13.240802197986767,-inf,-15.424926670160751,-inf
-inf,-12.151663747537567,-11.580839996392212,-inf,-12.08424017195595,-11.768353584153173,-inf,-11.856283034101786,-11.876554848061081,-12.423772339236988,-13.689964341647036,-12.445923187925978,-13.795151716009396,-12.988130786616873,-inf,-13.627750008056053,-14.515894738155957,-inf,-14.481867565090424,-14.731779489600806,-inf
-inf,-12.029061425445233,-11.6814835221719,-inf,-13.182852460624058,-12.633351021639779,-inf,-11.856283034101786,-11.909344670884073,-13.185912391283885,-inf,-12.851388296034143,-14.200616824117562,-12.700448714165091,-inf,-14.88051297655142,-inf,-13.240802197986767,-inf,-14.326314381492642,-inf
-inf,-11.703639025010606,-11.997000393617125,-12.102743398781426,-inf,-12.766882414264302,-13.317288507764502,-12.644740394466057,-12.420170294650063,-13.5223846279051,-inf,-13.544535476594088,-14.200616824117562,-12.700448714165091,-inf,-14.475047868443257,-13.599604006281803,-inf,-14.481867565090424,-inf,-14.30995737845356
-inf,-11.790650402000235,-11.90462707348611,-12.508208506889591,-inf,-13.20871516654334,-13.317288507764502,-11.769271657112157,-12.219499599187913,-13.052380998659363,-inf,-12.851388296034143,-13.977473272803351,-12.140832926229669,-inf,-15.573660157111366,-14.110429630047793,-inf,-13.788720384530478,-15.424926670160751,-inf
-11.74138287270818,-11.954953453291512,-11.997000393617125,-12.508208506889591,-inf,-12.410207470325568,-14.010435688324447,-12.17473676522032,-12.420170294650063,-12.934597963002979,-inf,-12.628244744719932,-14.200616824117562,-12.700448714165091,-inf,-15.573660157111366,-13.599604006281803,-inf,-inf,-14.03863230904086,-inf
-11.74138287270818,-11.82142206066699,-11.890028274064957,-13.201355687449537,-inf,-12.147843205858077,-12.911823399656338,-11.68922894943862,-12.314809778992236,-13.5223846279051,-13.689964341647036,-13.544535476594088,-13.189015912439082,-12.477305162850882,-inf,-15.573660157111366,-13.822747557596012,-inf,-inf,-15.424926670160751,-inf
-inf,-11.790650402000235,-11.414604577349882,-12.508208506889591,-inf,-11.971952539394414,-14.010435688324447,-11.546128105797946,-12.091666227678028,-12.934597963002979,-13.689964341647036,-13.139070368485923,-12.696539427341287,-12.700448714165091,-inf,-inf,-15.209041918715902,-inf,-13.788720384530478,-15.424926670160751,-12.70051946601946
-11.74138287270818,-11.128274880107044,-11.379202650298966,-12.102743398781426,-inf,-12.461500764713119,-14.010435688324447,-12.308268157844843,-12.74559269508469,-14.03321025167109,-inf,-13.139070368485923,-13.389686607901233,-13.393595894725037,-inf,-14.88051297655142,-inf,-inf,-inf,-inf,-inf
-inf,-11.676240050822491,-12.46057313253257,-12.508208506889591,-inf,-12.361417306156136,-14.010435688324447,-11.951593213906111,-12.477328708490012,-14.03321025167109,-inf,-12.628244744719932,-13.102004535449451,-13.393595894725037,-inf,-inf,-14.515894738155957,-inf,-inf,-14.731779489600806,-inf
-11.74138287270818,-12.396786205570551,-11.890028274064957,-inf,-inf,-13.00804447108119,-inf,-12.056953729563938,-12.74559269508469,-13.5223846279051,-inf,-13.544535476594088,-13.795151716009396,-13.393595894725037,-inf,-inf,-13.263131769660589,-inf,-inf,-14.731779489600806,-inf
-inf,-12.291425689912725,-12.946080948314272,-inf,-13.182852460624058,-13.20871516654334,-14.010435688324447,-11.769271657112157,-12.74559269508469,-13.5223846279051,-inf,-inf,-13.795151716009396,-12.988130786616873,-inf,-14.475047868443257,-15.209041918715902,-inf,-inf,-inf,-14.30995737845356
-inf,-11.437010361756657,-12.135150732097943,-12.508208506889591,-inf,-12.572726399823344,-inf,-12.056953729563938,-12.912646779747858,-14.03321025167109,-13.689964341647036,-13.544535476594088,-13.102004535449451,-14.086743075284982,-inf,-inf,-14.515894738155957,-inf,-inf,-15.424926670160751,-inf
-inf,-11.62359631733707,-11.94974750876658,-inf,-inf,-12.921033094091559,-13.317288507764502,-11.951593213906111,-12.912646779747858,-13.340063071111144,-inf,-14.237682657154034,-13.64100103618214,-inf,-inf,-14.88051297655142,-13.599604006281803,-inf,-14.481867565090424,-inf,-inf
-inf,-12.10910413311877,-11.94974750876658,-inf,-inf,-13.20871516654334,-14.010435688324447,-11.856283034101786,-12.477328708490012,-13.340063071111144,-inf,-13.139070368485923,-12.878860984135242,-13.393595894725037,-inf,-14.88051297655142,-inf,-inf,-inf,-inf,-14.30995737845356
